step,successes,total,x90_est,mean_est,mean_log,mean_low,mean_high,sdlog_est,sdlog_se,sdlog_low,sdlog_high,Asym_est,Asym_se,Asym_low,Asym_high,p_est,p_CI_low,p_CI_high
Case app use,883,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459417273673257,0.43695396556601945,0.4820045963274827
Case identifier upload,270,550,0.40256709507359784,0.1791058667444091,-2.744948620940763,0.03782825605627554,0.8480145490858357,1.431901119000427,1.0286030599262588,-0.5841608784550403,3.4479631164558944,0.4836679719314947,0.03577321879092341,0.4135524631012848,0.5537834807617046,0.4909090909090909,0.4483659765133931,0.5335503548416277
Contact app use,118,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44696969696969696,0.38599732574214407,0.5091460144739879
Contact AEN receipt,17,40,2.223982290061697,1.1825486984478888,-0.05398920888800336,0.6280423355330552,2.226635602540832,0.6658246496544757,0.418343540063464,-0.1541286888699137,1.485777988178865,0.43307087348948425,0.07468315115432292,0.2866918972270113,0.5794498497519571,0.425,0.27042903126886286,0.5910994195730366
